id,overview,runtime,tagline,title,vote_average,vote_count,genres,,
27205,"Cobb. a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"". the implantation of another person's idea into a target's subconscious.",148,Your mind is the scene of the crime.,Inception,8.1,14075,sf,,
155,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent. Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective. but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,152,Why So Serious?,The Dark Knight,8.3,12269,drama,,
19995,In the 22nd century. a paraplegic Marine is dispatched to the moon Pandora on a unique mission. but becomes torn between following orders and protecting an alien civilization.,162,Enter the World of Pandora.,Avatar,7.2,12114,fantasy,,
24428,When an unexpected enemy emerges and threatens global safety and security. Nick Fury. director of the international peacekeeping agency known as S.H.I.E.L.D.. finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe. a daring recruitment effort begins!,143,Some assembly required.,The Avengers,7.4,12000,action,,
293660,Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson. who after being subjected to a rogue experiment that leaves him with accelerated healing powers. adopts the alter ego Deadpool. Armed with his new abilities and a dark. twisted sense of humor. Deadpool hunts down the man who nearly destroyed his life.,108,Witness the beginning of a happy ending,Deadpool,7.4,11444,comedy,,
157336,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,11187,sf,,
68718,With the help of a German bounty hunter. a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,165,Life. liberty and the pursuit of vengeance.,Django Unchained,7.8,10297,drama,,
118340,Light years from Earth. 26 years after being abducted. Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.,121,All heroes start somewhere.,Guardians of the Galaxy,7.9,10014,action,,
550,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on. with underground ""fight clubs"" forming in every town. until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",139,Mischief. Mayhem. Soap.,Fight Club,8.3,9678,drama,,
70160,Every year in the ruins of what was once North America. the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment. part government intimidation tactic. the Hunger Games are a nationally televised event in which _ributes must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives. Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she_ ever to return home to District 12. Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.,142,May The Odds Be Ever In Your Favor.,The Hunger Games,6.9,9634,sf,,
76341,An apocalyptic story set in the furthest reaches of our planet. in a stark desert landscape where humanity is broken. and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max. a man of action and a man of few words. who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa. a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.,120,What a Lovely Day.,Mad Max: Fury Road,7.3,9629,action,,
49026,Following the death of District Attorney Harvey Dent. Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later. Batman encounters the mysterious Selina Kyle and the villainous Bane. a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.,165,The Legend Ends,The Dark Knight Rises,7.6,9263,action,,
603,Set in the 22nd century. The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.,136,Welcome to the Real World.,The Matrix,7.9,9079,sf,,
1726,After being held captive in an Afghan cave. billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.,126,Heroes aren't born. They're built.,Iron Man,7.4,8951,action,,
68721,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin. he starts an odyssey of rebuilding and retribution.,130,Unleash the power behind the armor.,Iron Man 3,6.8,8951,action,,
120,Young hobbit Frodo Baggins. after inheriting a mysterious ring from his uncle Bilbo. must leave his home in order to keep it from falling into the hands of its evil creator. Along the way. a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom. the only place where it can be destroyed.,178,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8,8892,fantasy,,
135397,Twenty-two years after the events of Jurassic Park. Isla Nublar now features a fully functioning dinosaur theme park. Jurassic World. as originally envisioned by John Hammond.,124,The park is open.,Jurassic World,6.5,8842,sf,,
680,A burger-loving hit man. his philosophical partner. a drug-addled gangster's moll and a washed-up boxer converge in this sprawling. comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,154,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8670,thriller,,
49051,Bilbo Baggins. a hobbit enjoying his quiet life. is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug. the dragon.,169,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8427,fantasy,,
278,Framed in the 1940s for the double murder of his wife and her lover. upstanding banker Andy Dufresne begins a new life at the Shawshank prison. where he puts his accounting skills to work for an amoral warden. During his long stretch in prison. Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.,142,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8358,drama,,
122,Aragorn is revealed as the heir to the ancient kings as he. Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile. Frodo and Sam bring the ring closer to the heart of Mordor. the dark lord's realm.,201,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8226,fantasy,,
13,A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case. far exceeding what anyone imagined he could do. Yet. despite all the things he has attained. his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges. and who proved that determination. courage. and love are more important than ability.,142,The world will never be the same. once you've seen it through the eyes of Forrest Gump.,Forrest Gump,8.2,8147,comedy,,
140607,Thirty years after defeating the Galactic Empire. Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,136,Every generation has a story.,Star Wars: The Force Awakens,7.5,7993,sf,,
597,84 years later. a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert. Brock Lovett. Lewis Bodine. Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912. on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother. Ruth DeWitt Bukater. and her fiancé. Caledon Hockley. Meanwhile. a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th. 1912 at 2:20 in the morning.,194,Nothing on Earth could come between them.,Titanic,7.5,7770,drama,,
37724,When Bond's latest assignment goes gravely wrong and agents around the world are exposed. MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory. the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out. M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent. Eve - following a trail to the mysterious Silva. whose lethal and hidden motives have yet to reveal themselves.,143,Think on your sins.,Skyfall,6.9,7718,action,,
297761,From DC Comics comes the Suicide Squad. an antihero team of incarcerated supervillains who act as deniable assets for the United States government. undertaking high-risk black ops missions in exchange for commuted prison sentences.,123,Worst Heroes Ever,Suicide Squad,5.9,7717,action,,
121,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli. Legolas and Aragorn search for the orc-captured Merry and Pippin. All along. nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,179,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8,7641,fantasy,,
272,Driven by tragedy. billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home. Gotham City.  Unable to work within the system. he instead creates a new identity. a symbol of fear for the criminal underworld - The Batman.,140,Evil fears the knight.,Batman Begins,7.5,7511,action,,
271110,Following the events of Age of Ultron. the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers. causing two factions to side with Iron Man or Captain America. which causes an epic battle between former allies.,147,Divided We Fall,Captain America: Civil War,7.1,7462,action,,
286217,During a manned mission to Mars. Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies. he must draw upon his ingenuity. wit and spirit to subsist and find a way to signal to Earth that he is alive.,141,Bring Him Home,The Martian,7.6,7442,drama,,
22,Jack Sparrow. a freewheeling 17th-century pirate who roams the Caribbean Sea. butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped. Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.,143,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,fantasy,,
209112,Fearing the actions of a god-like Super Hero left unchecked. Gotham City_ own formidable. forceful vigilante takes on Metropolis_ most revered. modern-day savior. while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another. a new threat quickly arises. putting mankind in greater danger than it_ ever known before.,151,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7189,action,,
671,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday. he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster. Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7188,fantasy,,
1771,Predominantly set during World War II. Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull  Adolf Hitler's ruthless head of weaponry. and the leader of an organization that intends to use a mysterious device of untold powers for world domination.,124,When patriots become heroes,Captain America: The First Avenger,6.6,7174,action,,
14160,Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78. life seems to have passed him by. until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.,96,,Up,7.8,7048,animation,,
10138,With the world now aware of his dual life as the armored superhero Iron Man. billionaire inventor Tony Stark faces pressure from the government. the press and the public to share his technology with the military. Unwilling to let go of his invention. Stark. with Pepper Potts and James 'Rhodey' Rhodes at his side. must forge new alliances  and confront powerful enemies.,124,It's not the armor that makes the hero. but the man inside.,Iron Man 2,6.6,6969,action,,
99861,When Tony Stark tries to jumpstart a dormant peacekeeping program. things go awry and Earth_ Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges. it is up to The Avengers to stop him from enacting his terrible plans. and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,6908,action,,
11,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121,A long time ago in a galaxy far. far away...,Star Wars,8.1,6778,sf,,
106646,A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street. corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.,180,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6768,drama,,
150540,Growing up can be a bumpy road. and it's no exception for Riley. who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us. Riley is guided by her emotions - Joy. Fear. Anger. Disgust and Sadness. The emotions live in Headquarters. the control center inside Riley's mind. where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco. turmoil ensues in Headquarters. Although Joy. Riley's main and most important emotion. tries to keep things positive. the emotions conflict on how best to navigate a new city. house and school.,94,Meet the little voices inside your head.,Inside Out,7.9,6737,animation,,
1930,Peter Parker is an outcast high schooler abandoned by his parents as a boy. leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers. Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father. he begins a quest to understand his parents' disappearance  leading him directly to Oscorp and the lab of Dr. Curt Connors. his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego. The Lizard. Peter will make life-altering choices to use his powers and shape his destiny to become a hero.,136,The untold story begins.,The Amazing Spider-Man,6.5,6734,action,,
10195,Against his father Odin's will. The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here. Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.,115,Two worlds. One hero.,Thor,6.6,6678,action,,
101299,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends. embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering. but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",146,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6656,action,,
16869,"In Nazi-occupied France during World War II. a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds. lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6598,drama,,
20352,Villainous Gru lives up to his reputation as a despicable. deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.,95,Superbad. Superdad.,Despicable Me,7.1,6595,animation,,
